══════════════════════════════════════════
DANH SÁCH TẤT CẢ CHILDREN TRONG C400:
══════════════════════════════════════════
      c-400 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      AileronLMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      AileronRMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BayDoorNoseBLMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BayDoorNoseBRMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BayDoorNoseFLMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BayDoorNoseFRMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BayLeftDoorL | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BayLeftDoorR | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BayRightDoorL | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BayRightDoorR | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW | LocalRot=(274.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.001 | LocalRot=(315.1, 274.0, 84.4) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.002 | LocalRot=(0.0, 270.0, 86.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.003 | LocalRot=(44.9, 266.0, 84.4) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.004 | LocalRot=(86.0, 180.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.005 | LocalRot=(44.9, 94.0, 275.6) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.006 | LocalRot=(0.0, 90.0, 274.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.007 | LocalRot=(315.1, 86.0, 275.6) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.008 | LocalRot=(274.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.009 | LocalRot=(315.1, 274.0, 84.4) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.010 | LocalRot=(0.0, 270.0, 86.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.011 | LocalRot=(44.9, 266.0, 84.4) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.012 | LocalRot=(86.0, 180.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
